母(0)/子(1)                                               评论内容
0            0      北朝鮮という盾が効力を失いついに米中の直接対決かな？新しい冷戦構造になるのも時間の問題だな
1            1  現在のチャイナは、世界経済を握ってるよ。経済の土俵にて、アメリカVS中国なら、中国が勝っても...
2            1             課税の総額が、両国共に同じ額ならば、プラスマイナス０と単純に考えるのですが。
3            1  中国はむしろアメリカの挑戦を歓迎すべき。圧力があるこそ、成長するからだ。トランプ、ありがとう...
4            1  独裁者にしてファシストの習近平中国の国内では、少数民族に対する弾圧、政敵粛清、宗教弾圧、ネッ...
5            1  チャイナにアメリカと真っ向勝負する気概はないよ。体裁だけ整えたうえでチキンレースから早々に降...
6            1  日本の反日メディアは「互いに覇権譲らず」みたいに、アメリカと中国が同程度の国力を持っているか...
7            1  日本としては中国との貿易がなくなってもアメリカとの貿易がなくなっても死ぬんじゃねまた食糧不足...
8            1                       まあ、いつかは雌雄を決するんだから、いいんじゃないかな？
9            1         雌雄を決するのは勝手だがアメリカポチしてて、かつ両国に挟まれてる日本は巻き込まれるで
10           1  日本や欧州だけにやって、一番の赤字の大元である中国にしないってわけにも行かないしな。どんどん...
11           1  アメリカの【貿易輸入額】と【大幅な経常収支のマイナス】を支え続けているのは "米ドルが基軸通...
12           1  関税合戦で、中間選挙の前に、アメリカへ影響出ないと、有権者はトランプのバカ政策が、理解できな...
13           1  いやいや、トランプ勝利の時点で米中冷戦は始まったも同然だったんだが100間行動計画にも為替操...
14           1                   北との交渉が失敗したから火消しでプロレスごっこしてるだけでしょ？
15           1  中国はすでにユーラシア＆アフリカをその手に収めつつある。海洋国家アメリカと大陸国家の対立とい...
16           1  日本が完全自主独立国家なら、米中が潰し合いをしてるうちに、漁夫の利を得られるよう立ち回れるん...
17           1                 好きにすればいいけど、円買うなら今のうちかな？？円安傾向続いてるし。
18           1  しかたないね北京原人はコンプレックスの塊欧米人を跪かせようとする放っておいたら靴の裏まで尻の...
19           1  中国からアメリカの輸出の方が、逆よりはるかに多いわけだから、そもそも対等な関係ではない。お客...
20           1       まあ、実質的に戦争になるかもね。互いに報復仕合恐慌状態に陥り互いに相手を倒しに掛かる為に
21           1  軍事作戦としては南北朝鮮から台湾や南シナ海に移りそうですね中国はさらにイスラエル包囲網に協力...
22           1  まだ中国は、アメリカとガチンコできる力なんて無いだろう。ついこの前の衝突だって、中国が引き下...
23           1  中国がアメリカと貿易を縮小してもまたまた大丈夫です。よその国とやればいいいいでしょう。死活の...
24           1  コンフィデンシャルだけど、米国が中国に強気なのはアセアン諸国でしだいに中国企業、観光客、中国...
25           1  よその国とやればいいと言うが、消費財に関してアメリカに代わるほどの市場規模を持つ国は他にない...
26           1  安倍アホ、メキシコの移民2500万人送るぞ、そうするとお前の政権は終わりって言われてるけど。...
27           0   日本のメディアは反トランプの米主要メディアの影響が強いので恰もの米国が暴走しているように報...
28           1  制裁の原因となった知的財産～については伏せておいてアメリカの暴走で中国は被害者かのように報じ...
29           1  アメリカンファーストだっけ？中国もチャイナファーストどっちもどっち、自己中だからね勝手にやっ...
..         ...                                                ...
696          0   さすがに、ＥＵや日本に制裁関税を課そうと言うとき、中国は「お咎めなし」では、選挙民（特に保...
697          0   こうなると、輸出依存度の高い中国の負けしか先には無いのにな米国のチャイナパッシングが加速す...
698          0                             よくわからんが中国は悪！だと言うのはわかる。
699          0   中共国には覇権などないですよ？覇権を与えて奉りたい、変態新聞の、血が滲むような渇望はわかり...
700          0                                   日本はその間に漁夫の利を得ようぜ
701          0   他所の国のことだから日本は関係ないと思ってる連中はガチでヤバいぞ。デカい中国市場がイカれて...
702          0   アメリカ大統領だから自国の事を優先的に考えるのは当然。中国は都合のいい時だけ国際機関に提訴...
703          0                                            最悪な馬鹿だな
704          0                               対中制裁は大歓迎！ざまみろ中国！滅びろ！
705          0                                    中国人は爆買いができなくなる。
